Number	Surname, Initials	Week	Job	hTotal	hNormal
326705	wVbQABbE, L.P.	201550	1	41.480000	41.480000
326705	wVbQABbE, L.P.	201551	1	41.490000	41.490000
326705	wVbQABbE, L.P.	201552	1	30.020000	30.020000
326705	wVbQABbE, L.P.	201553	1	35.230000	35.230000
392421	jgEwHWyU, D.K.	201549	1	39.740000	21.830000
392421	jgEwHWyU, D.K.	201550	1	45.630000	27.300000
392421	jgEwHWyU, D.K.	201551	1	36.570000	19.220000
053987	tAAhdrUJ, U.	201549	2	36.200000	22.380000
053987	tAAhdrUJ, U.	201550	2	44.010000	42.010000
053987	tAAhdrUJ, U.	201551	2	32.640000	21.390000
053987	tAAhdrUJ, U.	201552	2	32.310000	30.310000
053987	tAAhdrUJ, U.	201553	2	29.700000	23.600000
141641	ybAbDAiX, K.J.	201549	1	43.690000	43.690000
141641	ybAbDAiX, K.J.	201550	1	40.320000	40.320000
141641	ybAbDAiX, K.J.	201551	1	24.080000	24.080000
330667	IAYcbZpi, J.	201549	4	47.150000	22.650000
330667	IAYcbZpi, J.	201550	4	46.790000	22.710000
330667	IAYcbZpi, J.	201551	4	49.240000	23.170000
330667	IAYcbZpi, J.	201552	4	44.550000	19.620000
330667	IAYcbZpi, J.	201553	4	31.690000	23.640000
528589	LmxrfBNL, J.A.	201549	2	15.010000	8.230000
528589	LmxrfBNL, J.A.	201551	2	31.320000	19.920000
528589	LmxrfBNL, J.A.	201552	2	28.080000	15.480000
528589	LmxrfBNL, J.A.	201553	2	24.930000	18.990000
266858	vfIcQgEl, D.	201549	2	40.720000	40.720000
266858	vfIcQgEl, D.	201550	2	58.370000	47.660000
266858	vfIcQgEl, D.	201551	2	45.070000	40.890000
266858	vfIcQgEl, D.	201552	2	40.110000	30.710000
266858	vfIcQgEl, D.	201553	2	38.500000	37.500000
261659	XPHqUWZB, J.A.	201549	1	47.560000	28.740000
261659	XPHqUWZB, J.A.	201550	1	45.150000	26.060000
261659	XPHqUWZB, J.A.	201551	1	44.130000	27.810000
261659	XPHqUWZB, J.A.	201552	1	24.930000	23.850000
261659	XPHqUWZB, J.A.	201553	1	34.700000	24.780000
098878	CxqjLrzj, G.J.	201549	1	47.740000	29.220000
098878	CxqjLrzj, G.J.	201550	1	45.030000	25.930000
098878	CxqjLrzj, G.J.	201551	1	43.220000	26.800000
098878	CxqjLrzj, G.J.	201552	1	24.840000	23.840000
098878	CxqjLrzj, G.J.	201553	1	34.480000	24.600000
607253	HGwgJACa, B	201550	1	59.980000	50.170000
607253	HGwgJACa, B	201551	1	42.800000	39.800000
607253	HGwgJACa, B	201552	1	12.880000	11.880000
607253	HGwgJACa, B	201553	1	9.900000	9.900000
921075	DPNKoGfd, M.M.	201549	1	35.770000	22.290000
574616	kajkbqck, J.A.	201549	2	43.550000	43.550000
574616	kajkbqck, J.A.	201550	2	44.460000	42.460000
574616	kajkbqck, J.A.	201551	2	36.820000	25.780000
574616	kajkbqck, J.A.	201552	2	35.410000	28.910000
574616	kajkbqck, J.A.	201553	2	30.990000	23.720000
452577	RHAtIbWm, S.R.	201549	2	53.280000	49.160000
452577	RHAtIbWm, S.R.	201550	2	51.750000	40.020000
452577	RHAtIbWm, S.R.	201551	2	44.670000	40.670000
452577	RHAtIbWm, S.R.	201552	2	41.420000	29.390000
452577	RHAtIbWm, S.R.	201553	2	32.240000	29.240000
155032	CZYxElIO, J.M.	201549	1	45.330000	45.330000
155032	CZYxElIO, J.M.	201550	1	34.520000	20.800000
155032	CZYxElIO, J.M.	201551	1	44.860000	40.860000
155032	CZYxElIO, J.M.	201552	1	19.970000	12.320000
155032	CZYxElIO, J.M.	201553	1	37.930000	36.930000
183150	QfEyRJvq, P.D.	201549	1	35.550000	35.550000
183150	QfEyRJvq, P.D.	201550	1	31.240000	31.240000
183150	QfEyRJvq, P.D.	201551	1	21.880000	21.880000
291066	ZRzbcgNE, L.P.	201549	2	35.250000	21.350000
291066	ZRzbcgNE, L.P.	201550	2	44.990000	42.990000
291066	ZRzbcgNE, L.P.	201551	2	31.970000	21.540000
291066	ZRzbcgNE, L.P.	201552	2	35.520000	29.400000
291066	ZRzbcgNE, L.P.	201553	2	27.450000	20.100000
322513	CPFpcWtg, D.A.	201550	1	43.800000	18.140000
322513	CPFpcWtg, D.A.	201551	1	46.380000	23.090000
627232	NjdvlZbL, R.A.	201549	1	42.460000	23.350000
627232	NjdvlZbL, R.A.	201550	1	50.930000	4.500000
627232	NjdvlZbL, R.A.	201551	1	44.290000	2.600000
627232	NjdvlZbL, R.A.	201552	1	42.890000	19.020000
627232	NjdvlZbL, R.A.	201553	1	31.250000	18.710000
325116	QkyGHTEG, G.J.	201549	1	47.330000	22.600000
325116	QkyGHTEG, G.J.	201550	1	51.840000	4.570000
325116	QkyGHTEG, G.J.	201551	1	42.640000	0.000000
325116	QkyGHTEG, G.J.	201552	1	40.630000	19.530000
325116	QkyGHTEG, G.J.	201553	1	31.030000	18.750000
985847	VyOakPwz, E.M.	201549	1	43.240000	28.190000
985847	VyOakPwz, E.M.	201550	1	46.320000	44.320000
985847	VyOakPwz, E.M.	201551	1	37.440000	26.270000
985847	VyOakPwz, E.M.	201552	1	32.330000	30.330000
985847	VyOakPwz, E.M.	201553	1	19.530000	12.730000
760394	MmAmewkH, K.M.	201549	1	34.730000	22.340000
760394	MmAmewkH, K.M.	201550	1	43.720000	41.720000
760394	MmAmewkH, K.M.	201551	1	32.300000	21.750000
760394	MmAmewkH, K.M.	201552	1	36.770000	30.350000
760394	MmAmewkH, K.M.	201553	1	30.310000	23.830000
166555	kEbMtnfi, P.	201549	1	48.950000	48.950000
166555	kEbMtnfi, P.	201550	1	46.140000	44.140000
166555	kEbMtnfi, P.	201551	1	47.120000	43.120000
166555	kEbMtnfi, P.	201552	1	23.830000	22.830000
166555	kEbMtnfi, P.	201553	1	32.170000	25.270000
673714	YRcsUHOE, G.	201549	2	53.210000	49.210000
673714	YRcsUHOE, G.	201550	2	52.810000	47.810000
673714	YRcsUHOE, G.	201551	2	51.260000	47.260000
673714	YRcsUHOE, G.	201552	2	18.700000	15.700000
673714	YRcsUHOE, G.	201553	2	26.170000	24.170000
161704	yeeAfXFV, S.A.	201549	1	44.040000	44.040000
161704	yeeAfXFV, S.A.	201550	1	34.630000	19.770000
161704	yeeAfXFV, S.A.	201551	1	43.600000	39.600000
161704	yeeAfXFV, S.A.	201552	1	31.650000	29.650000
161704	yeeAfXFV, S.A.	201553	1	18.720000	11.390000
105322	hmHkmQuD, W.M.	201549	2	48.970000	48.970000
105322	hmHkmQuD, W.M.	201550	2	36.920000	21.580000
105322	hmHkmQuD, W.M.	201551	2	45.130000	41.130000
105322	hmHkmQuD, W.M.	201552	2	25.930000	12.790000
105322	hmHkmQuD, W.M.	201553	2	38.760000	37.760000
788554	rWureEpk, M.	201549	1	37.870000	15.740000
788554	rWureEpk, M.	201550	1	31.050000	14.320000
788554	rWureEpk, M.	201551	1	33.020000	19.770000
788554	rWureEpk, M.	201552	1	24.510000	13.660000
788554	rWureEpk, M.	201553	1	22.120000	15.210000
483689	xxLWfGiN, P.	201549	1	38.900000	38.900000
483689	xxLWfGiN, P.	201550	1	34.450000	34.450000
483689	xxLWfGiN, P.	201551	1	36.570000	36.570000
483689	xxLWfGiN, P.	201552	1	25.940000	25.940000
483689	xxLWfGiN, P.	201553	1	16.350000	16.350000
350837	NiMHExYc, W.D.	201549	2	42.720000	23.670000
350837	NiMHExYc, W.D.	201550	2	35.240000	17.530000
350837	NiMHExYc, W.D.	201551	2	31.510000	18.080000
350837	NiMHExYc, W.D.	201552	2	12.180000	7.180000
661351	HCsFrnhj, M.F.	201549	2	42.750000	28.370000
661351	HCsFrnhj, M.F.	201550	2	39.240000	37.820000
661351	HCsFrnhj, M.F.	201551	2	31.400000	21.460000
661351	HCsFrnhj, M.F.	201552	2	22.600000	21.600000
220275	mJqQtJNB, B.	201549	4	44.700000	44.700000
220275	mJqQtJNB, B.	201550	4	42.350000	42.350000
220275	mJqQtJNB, B.	201551	4	39.970000	39.970000
171168	tUXjBAwQ, R.	201549	1	36.240000	22.510000
171168	tUXjBAwQ, R.	201550	1	37.780000	35.780000
171168	tUXjBAwQ, R.	201551	1	32.260000	21.440000
171168	tUXjBAwQ, R.	201552	1	32.320000	30.320000
171168	tUXjBAwQ, R.	201553	1	30.290000	23.150000
868258	NBCNYlzV, M.W.	201549	2	42.510000	42.510000
868258	NBCNYlzV, M.W.	201550	2	42.690000	40.690000
868258	NBCNYlzV, M.W.	201551	2	32.070000	20.930000
868258	NBCNYlzV, M.W.	201552	2	30.970000	28.970000
868258	NBCNYlzV, M.W.	201553	2	26.390000	20.350000
089583	AzdvLCNL, G.P.	201549	1	22.750000	22.750000
461348	yomNEfkC, J.	201549	1	45.790000	45.790000
461348	yomNEfkC, J.	201550	1	40.090000	26.000000
461348	yomNEfkC, J.	201551	1	44.800000	40.800000
461348	yomNEfkC, J.	201552	1	25.220000	12.690000
461348	yomNEfkC, J.	201553	1	37.970000	36.970000
231343	QjCFLgWk, D.K.	201549	1	48.850000	48.850000
231343	QjCFLgWk, D.K.	201550	1	41.650000	41.650000
231343	QjCFLgWk, D.K.	201551	1	40.080000	40.080000
231343	QjCFLgWk, D.K.	201552	1	29.420000	29.420000
231343	QjCFLgWk, D.K.	201553	1	20.060000	20.060000
625180	yAUNYBmH, R.	201549	2	47.340000	22.720000
625180	yAUNYBmH, R.	201550	2	51.220000	4.450000
625180	yAUNYBmH, R.	201551	2	42.840000	0.000000
625180	yAUNYBmH, R.	201552	2	23.760000	11.430000
625180	yAUNYBmH, R.	201553	2	16.000000	9.050000
759013	AMAmlLEw, P.	201549	3	42.650000	42.650000
759013	AMAmlLEw, P.	201550	3	41.720000	41.720000
759013	AMAmlLEw, P.	201551	3	38.260000	38.260000
241450	MoOUPBwe, M.M.	201549	2	37.130000	24.530000
241450	MoOUPBwe, M.M.	201550	2	46.400000	19.840000
241450	MoOUPBwe, M.M.	201551	2	34.660000	20.560000
241450	MoOUPBwe, M.M.	201552	2	21.400000	12.060000
241450	MoOUPBwe, M.M.	201553	2	18.840000	15.820000
690289	IprDEdSV, S.M.	201549	1	47.190000	43.160000
690289	IprDEdSV, S.M.	201550	1	53.360000	48.360000
690289	IprDEdSV, S.M.	201551	1	43.910000	40.880000
690289	IprDEdSV, S.M.	201552	1	30.610000	27.610000
690289	IprDEdSV, S.M.	201553	1	34.270000	31.270000
399989	UJmklNYU, J.	201549	2	46.990000	22.470000
399989	UJmklNYU, J.	201550	2	45.870000	22.530000
399989	UJmklNYU, J.	201551	2	46.440000	22.980000
399989	UJmklNYU, J.	201552	2	41.450000	19.350000
399989	UJmklNYU, J.	201553	2	29.270000	18.860000
512298	kWBYGYgT, B.	201549	1	36.610000	36.610000
512298	kWBYGYgT, B.	201550	1	33.840000	20.830000
512298	kWBYGYgT, B.	201551	1	37.780000	33.780000
512298	kWBYGYgT, B.	201552	1	25.270000	12.110000
512298	kWBYGYgT, B.	201553	1	29.910000	28.910000
280145	WAVeomNB, K.	201549	1	36.630000	36.630000
280145	WAVeomNB, K.	201550	1	34.820000	21.560000
280145	WAVeomNB, K.	201551	1	38.570000	34.570000
280145	WAVeomNB, K.	201552	1	24.770000	12.730000
280145	WAVeomNB, K.	201553	1	31.530000	30.530000
127284	tMqxBnNb, B.A.	201549	1	43.870000	28.820000
127284	tMqxBnNb, B.A.	201550	1	47.270000	45.270000
127284	tMqxBnNb, B.A.	201551	1	34.280000	21.790000
127284	tMqxBnNb, B.A.	201552	1	39.740000	32.370000
127284	tMqxBnNb, B.A.	201553	1	32.170000	24.870000
286776	QzBtFJSR, K.K.	201549	1	38.710000	38.710000
286776	QzBtFJSR, K.K.	201550	1	35.380000	21.600000
286776	QzBtFJSR, K.K.	201551	1	39.820000	35.820000
286776	QzBtFJSR, K.K.	201552	1	25.110000	12.880000
286776	QzBtFJSR, K.K.	201553	1	31.480000	30.480000
564457	qZSWQVQe, D.W.	201549	1	38.150000	38.150000
564457	qZSWQVQe, D.W.	201550	1	35.030000	21.540000
564457	qZSWQVQe, D.W.	201551	1	40.470000	36.470000
564457	qZSWQVQe, D.W.	201552	1	25.110000	12.870000
564457	qZSWQVQe, D.W.	201553	1	31.420000	30.420000
763654	rJMUVrms, M.D.	201549	1	33.150000	33.150000
763654	rJMUVrms, M.D.	201550	1	43.560000	43.560000
763654	rJMUVrms, M.D.	201551	1	39.000000	39.000000
763654	rJMUVrms, M.D.	201552	1	29.530000	29.530000
763654	rJMUVrms, M.D.	201553	1	23.060000	23.060000
911135	xaDrzbeq, P.A.	201549	1	44.270000	44.270000
